Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_Presence_Absence,Stx2_Presence_Absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC99,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,3/22/2016,Spring,Wet,1130,11.6,116.2,9.19,,6.07,271,2.4,643,2.8,"19,596",4.3,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,47.8,21.3,0.0
PC112,Burbank,Burbank_Wet,GrbW,4/6/2016,Spring,Wet,1155,12.81,208,9.91,7.32,2.2,"5,848",3.8,"174,170",5.2,"39,586",4.6,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC113,Greensferry,Greensferry_Wet,GrbW,4/6/2016,Spring,Wet,1130,16.75,309,7.84,7.23,1.5,"23,155",4.4,"3,495,779",6.5,"233,383",5.4,"1,484",3.2,A,A,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
PC114,North Ave,North Ave_Wet,GrbW,4/6/2016,Spring,Wet,1145,15.94,261,10.07,7.67,2.9,"11,787",4.1,"3,181,019",6.5,"251,257",5.4,"1,379",3.1,A,A,0,0,0,0.000,0.000,0.000,77.0,1.2,0.0
PC115,North Ave CSO,North Ave CSO_Wet,GrbW,4/6/2016,Spring,Wet,1215,14.4,571,3.08,7.03,1.1,79,1.9,ND,0.0,ND,0.0,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,93.7,0.3,0.0
PC117,Hortense,Hortense_Wet,GrbW,4/6/2016,Spring,Wet,950,12.32,257,9.43,7.3,2.0,643,2.8,"51,534",4.7,"11,291",4.1,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,77.3,4.1,0.2
PC118,Kerry Circle,Kerry Circle_Wet,GrbW,4/6/2016,Spring,Wet,1030,12.66,340,10.27,7.52,4.0,"1,028",3.0,"20,007",4.3,"12,384",4.1,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,69.7,8.6,1.0
PC119,James Jackson,James Jackson_Wet,GrbW,4/6/2016,Spring,Wet,1135,13.22,286,11.43,7.8,1.9,421,2.6,"10,565",4.0,"6,495",3.8,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,60.1,13.1,1.0
PC120,Northwest,Northwest_Wet,GrbW,4/6/2016,Spring,Wet,1030,12.88,305,10.72,7.66,2.3,316,2.5,"11,869",4.1,"6,167",3.8,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,59.0,13.9,0.9
PC121,Lindsay Street,Lindsay Street_Wet,GrbW,4/6/2016,Spring,Wet,1215,15.92,441,9.03,6.9,0.7,242,2.4,"4,223",3.6,"3,795",3.6,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC122,Grove Park,Grove Park_Wet,GrbW,4/6/2016,Spring,Wet,1015,11.85,210,10.6,7.64,1.7,572,2.8,"6,844",3.8,"12,768",4.1,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC123,Spring Street,Spring Street_Wet,GrbW,4/6/2016,Spring,Wet,1145,13.17,169,10.45,7.48,3.0,529,2.7,"40,585",4.6,"10,706",4.0,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC125,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,4/6/2016,Spring,Wet,1115,12.89,170,8.62,7.08,3.7,906,3.0,<LOQ,2.7,"8,454",3.9,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,47.8,21.3,0.0
PC128,Northwest,Northwest_Wet,GrbW,4/20/2016,Spring,Wet,1040,17.2,261.1,9.96,7.77,2.6,860,2.9,"21,616",4.3,"11,575",4.1,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,59.0,13.9,0.9
PC129,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,4/20/2016,Spring,Wet,1051,15.4,124.1,7.49,6.82,5.0,956,3.0,<LOQ,2.7,"11,043",4.0,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,47.8,21.3,0.0
PC130,James Jackson,James Jackson_Wet,GrbW,4/20/2016,Spring,Wet,1106,17.3,249.5,12.08,8.03,2.3,"2,424",3.4,"7,042",3.8,"19,295",4.3,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,60.1,13.1,1.0
PC131,Spring Street,Spring Street_Wet,GrbW,4/20/2016,Spring,Wet,1125,17.2,152.8,9.1,7.59,2.4,230,2.4,"28,772",4.5,"3,299",3.5,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC132,Kerry Circle,Kerry Circle_Wet,GrbW,4/20/2016,Spring,Wet,1141,17.9,283.4,8.85,7.61,2.7,"1,172",3.1,"38,691",4.6,"24,087",4.4,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,69.7,8.6,1.0
PC133,Hortense,Hortense_Wet,GrbW,4/20/2016,Spring,Wet,1208,18.3,242.4,9.7,7.57,2.1,307,2.5,"13,187",4.1,"8,171",3.9,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,77.3,4.1,0.2
PC134,Grove Park,Grove Park_Wet,GrbW,4/20/2016,Spring,Wet,1220,17.8,179.6,9.15,7.76,1.7,455,2.7,"5,696",3.8,"8,113",3.9,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC136,North Ave,North Ave_Wet,GrbW,4/20/2016,Spring,Wet,1245,21.4,503,8.84,7.81,1.6,"1,130",3.1,"355,290",5.6,"17,958",4.3,LOQ,3.0,P,P,0,0,0,0.000,0.000,0.000,77.0,1.2,0.0
PC137,North Ave CSO,North Ave CSO_Wet,GrbW,4/20/2016,Spring,Wet,1303,15,507,7.65,7.55,5.8,11,1.0,ND,0.0,561,2.7,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,93.7,0.3,0.0
PC138,Lindsay Street,Lindsay Street_Wet,GrbW,4/20/2016,Spring,Wet,1316,20,373.7,7.09,6.88,1.2,"1,415",3.2,"9,536",4.0,"14,963",4.2,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC139,Greensferry,Greensferry_Wet,GrbW,4/20/2016,Spring,Wet,1329,18.4,275.2,6.9,7.16,1.6,"8,333",3.9,"2,709,951",6.4,"101,455",5.0,"18,028",4.3,A,A,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
PC140,Burbank,Burbank_Wet,GrbW,4/20/2016,Spring,Wet,1343,20,172.6,8.36,7.47,2.0,"1,895",3.3,"77,534",4.9,"22,679",4.4,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC142,Northwest,Northwest_Wet,GrbW,5/3/2016,Spring,Wet,955,20.4,219.5,7.14,7.46,5.7,800,2.9,LOQ,2.7,"7,015",3.8,ND,0.0,P,P,0.02,0.04,0.5,0.001,0.001,0.007,59.0,13.9,0.9
PC143,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,5/3/2016,Spring,Wet,1022,18.4,119.5,5.65,6.94,3.3,"1,062",3.0,ND,0.0,"11,709",4.1,ND,0.0,P,A,0.02,0.04,0.5,0.001,0.001,0.007,47.8,21.3,0.0
PC144,James Jackson,James Jackson_Wet,GrbW,5/3/2016,Spring,Wet,1035,20.5,211.4,7.58,7.45,4.6,"1,406",3.1,"29,066",4.5,"20,957",4.3,ND,0.0,P,P,0.02,0.04,0.5,0.001,0.001,0.007,60.1,13.1,1.0
PC145,Spring Street,Spring Street_Wet,GrbW,5/3/2016,Spring,Wet,1053,19.8,153.7,7.98,7.49,4.3,"1,463",3.2,"119,054",5.1,"25,058",4.4,ND,0.0,A,P,0.02,0.04,0.5,0.001,0.001,0.007,41.8,21.9,0.7
PC146,Kerry Circle,Kerry Circle_Wet,GrbW,5/3/2016,Spring,Wet,1108,20.6,224.8,5.97,7.26,5.3,"2,861",3.5,"9,908",4.0,"26,318",4.4,ND,0.0,P,P,0.02,0.04,0.5,0.001,0.001,0.007,69.7,8.6,1.0
PC147,Hortense,Hortense_Wet,GrbW,5/3/2016,Spring,Wet,1125,20.2,215.3,7.08,7.33,3.8,662,2.8,"24,485",4.4,"10,238",4.0,ND,0.0,P,P,0.02,0.04,0.5,0.001,0.001,0.007,77.3,4.1,0.2
PC148,Grove Park,Grove Park_Wet,GrbW,5/3/2016,Spring,Wet,1137,19.5,182.9,8.45,7.59,3.5,438,2.6,"6,723",3.8,"6,273",3.8,ND,0.0,P,A,0.02,0.04,0.5,0.001,0.001,0.007,48.8,11.2,0.0
PC150,North Ave,North Ave_Wet,GrbW,5/3/2016,Spring,Wet,1158,20.7,416.2,7.75,7.52,5.1,"14,829",4.2,"581,913",5.8,"73,651",4.9,LOQ,3.0,P,P,0.02,0.04,0.5,0.001,0.001,0.007,77.0,1.2,0.0
PC151,North Ave CSO,North Ave CSO_Wet,GrbW,5/3/2016,Spring,Wet,1205,18.5,489.4,2.35,7.07,2.4,378,2.6,LOQ,2.7,"5,698",3.8,ND,0.0,,,0.02,0.04,0.5,0.001,0.001,0.007,93.7,0.3,0.0
PC152,Lindsay Street,Lindsay Street_Wet,GrbW,5/3/2016,Spring,Wet,1218,19.1,359,6.52,6.91,2.9,"1,689",3.2,LOQ,2.7,"9,327",4.0,ND,0.0,P,P,0.02,0.04,0.5,0.001,0.001,0.007,94.5,0.0,0.0
PC153,Greensferry,Greensferry_Wet,GrbW,5/3/2016,Spring,Wet,1230,19.7,269.7,5.92,7.07,3.4,"17,041",4.2,"4,142,208",6.6,"405,859",5.6,"11,606",4.1,A,P,0.02,0.04,0.5,0.001,0.001,0.007,83.8,0.4,0.0
PC154,Burbank,Burbank_Wet,GrbW,5/3/2016,Spring,Wet,1242,20.1,174.6,6.66,7.23,6.0,"2,022",3.3,"115,689",5.1,"27,740",4.4,ND,0.0,P,A,0.02,0.04,0.5,0.001,0.001,0.007,68.7,1.4,0.0
PC158,Northwest,Northwest_Wet,GrbW,5/17/2016,Spring,Wet,1100,18.2,162.6,7.42,7.57,39.1,"12,499",4.1,"10,576",4.0,"194,631",5.3,"6,381",3.8,P,A,0.73,0.73,0.73,0.030,0.015,0.010,59.0,13.9,0.9
PC159,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,5/17/2016,Spring,Wet,1108,18.5,39.4,7.74,7.14,21.4,"6,271",3.8,ND,0.0,"88,180",4.9,LOQ,3.0,P,A,0.74,0.74,0.74,0.031,0.015,0.010,47.8,21.3,0.0
PC160,James Jackson,James Jackson_Wet,GrbW,5/17/2016,Spring,Wet,1121,18.2,156.7,7.57,7.34,32.8,"7,906",3.9,"283,426",5.5,"155,430",5.2,"5,687",3.8,P,A,0.74,0.74,0.74,0.031,0.015,0.010,60.1,13.1,1.0
PC161,Spring Street,Spring Street_Wet,GrbW,5/17/2016,Spring,Wet,1136,17.8,93.8,8.07,7.37,46.2,"7,726",3.9,"244,667",5.4,"155,988",5.2,"16,051",4.2,P,A,0.74,0.74,0.74,0.031,0.015,0.010,41.8,21.9,0.7
PC162,Kerry Circle,Kerry Circle_Wet,GrbW,5/17/2016,Spring,Wet,1152,18.8,110.5,7.36,7.29,23.9,"8,623",3.9,"137,452",5.1,"97,275",5.0,LOQ,3.0,P,A,0.74,0.74,0.74,0.031,0.015,0.010,69.7,8.6,1.0
PC163,Hortense,Hortense_Wet,GrbW,5/17/2016,Spring,Wet,1211,19.3,102.3,7.89,7.23,24.9,"19,330",4.3,"1,497,842",6.2,"504,035",5.7,"36,189",4.6,P,A,0.74,0.74,0.74,0.031,0.015,0.010,77.3,4.1,0.2
PC164,Grove Park,Grove Park_Wet,GrbW,5/17/2016,Spring,Wet,1222,18.2,94.5,8.21,7.24,19.9,"14,140",4.2,"156,320",5.2,"188,070",5.3,"7,558",3.9,P,A,0.74,0.74,0.74,0.031,0.015,0.010,48.8,11.2,0.0
PC166,North Ave,North Ave_Wet,GrbW,5/17/2016,Spring,Wet,1239,19.8,93.3,8.05,7.23,23.7,"15,452",4.2,"1,874,661",6.3,"224,752",5.4,"11,971",4.1,P,A,0.74,0.74,0.74,0.031,0.015,0.010,77.0,1.2,0.0
PC167,Lindsay Street,Lindsay Street_Wet,GrbW,5/17/2016,Spring,Wet,1300,19.6,176.4,5.39,6.56,4.0,"8,031",3.9,"66,972",4.8,"81,248",4.9,ND,0.0,P,P,0.74,0.74,0.74,0.031,0.015,0.010,94.5,0.0,0.0
PC168,Greensferry,Greensferry_Wet,GrbW,5/17/2016,Spring,Wet,1323,20,132.1,7.07,7,8.2,"31,530",4.5,"2,445,124",6.4,"201,696",5.3,"21,646",4.3,P,A,0.74,0.74,0.74,0.031,0.015,0.010,83.8,0.4,0.0
PC169,Burbank,Burbank_Wet,GrbW,5/17/2016,Spring,Wet,1312,19.3,84.6,6.62,7.09,24.5,"11,478",4.1,"1,353,396",6.1,"171,579",5.2,"14,874",4.2,P,P,0.74,0.74,0.74,0.031,0.015,0.010,68.7,1.4,0.0
PC170,North Ave CSO,North Ave CSO_Wet,GrbW,5/17/2016,Spring,Wet,1248,19.9,109.8,6.65,7.21,15.9,"7,166",3.9,LOQ,2.7,"106,461",5.0,ND,0.0,P,A,0.74,0.74,0.74,0.031,0.015,0.010,93.7,0.3,0.0
PC172,Northwest,Northwest_Wet,GrbW,6/1/2016,Spring,Wet,1010,23,262.1,7,7.63,2.6,538,2.7,LOQ,2.7,"10,538",4.0,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,59.0,13.9,0.9
PC173,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,6/1/2016,Spring,Wet,1023,19.8,133.6,5.38,6.88,8.2,"3,867",3.6,ND,0.0,"12,544",4.1,ND,0.0,A,P,0,0,0,0.000,0.000,0.000,47.8,21.3,0.0
PC174,James Jackson,James Jackson_Wet,GrbW,6/1/2016,Spring,Wet,1042,22.7,247.7,7.36,7.54,2.9,892,3.0,LOQ,2.7,"15,399",4.2,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,60.1,13.1,1.0
PC175,Spring Street,Spring Street_Wet,GrbW,6/1/2016,Spring,Wet,1054,21.9,167.9,8.01,7.52,2.4,639,2.8,LOQ,2.7,"5,064",3.7,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC176,Kerry Circle,Kerry Circle_Wet,GrbW,6/1/2016,Spring,Wet,1112,23.7,259,6.12,7.37,3.3,"28,311",4.5,"128,571",5.1,"131,874",5.1,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,69.7,8.6,1.0
PC177,Hortense,Hortense_Wet,GrbW,6/1/2016,Spring,Wet,1130,23.2,298.7,7.33,7.44,2.3,610,2.8,LOQ,2.7,"4,695",3.7,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,77.3,4.1,0.2
PC178,Grove Park,Grove Park_Wet,GrbW,6/1/2016,Spring,Wet,1139,22.9,194.1,8.3,8.06,2.0,643,2.8,LOQ,2.7,LOQ,2.7,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC180,North Ave,North Ave_Wet,GrbW,6/1/2016,Spring,Wet,1153,23.5,254.9,8.71,7.82,3.1,"6,005",3.8,"81,951",4.9,"35,832",4.6,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,77.0,1.2,0.0
PC181,North Ave CSO,North Ave CSO_Wet,GrbW,6/1/2016,Spring,Wet,1203,19.6,540,2.45,7.41,5.6,223,2.3,LOQ,2.7,"4,432",3.6,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,93.7,0.3,0.0
PC182,Lindsay Street,Lindsay Street_Wet,GrbW,6/1/2016,Spring,Wet,1217,20.8,362,6.88,7.08,0.7,"1,808",3.3,"41,842",4.6,"7,322",3.9,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC183,Greensferry,Greensferry_Wet,GrbW,6/1/2016,Spring,Wet,1228,20.5,289.1,6.86,7.29,0.8,"19,056",4.3,"966,412",6.0,"150,953",5.2,"20,564",4.3,A,A,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
PC184,Burbank,Burbank_Wet,GrbW,6/1/2016,Spring,Wet,1240,23.5,176.1,7.35,7.51,5.0,"9,753",4.0,"194,133",5.3,"28,956",4.5,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC186,Northwest,Northwest_Wet,GrbW,6/14/2016,Spring,Wet,1010,25.2,285.5,6.79,7.55,3.0,311,2.5,LOQ,2.7,LOQ,2.7,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,59.0,13.9,0.9
PC187,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,6/14/2016,Spring,Wet,1021,20,167.9,1.16,5.97,4.6,"7,487",3.9,ND,0.0,"34,311",4.5,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,47.8,21.3,0.0
PC188,James Jackson,James Jackson_Wet,GrbW,6/14/2016,Spring,Wet,1036,25.1,275.4,7.37,7.48,2.6,176,2.2,LOQ,2.7,LOQ,2.7,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,60.1,13.1,1.0
PC189,Spring Street,Spring Street_Wet,GrbW,6/14/2016,Spring,Wet,1050,24,175.7,7.55,7.44,3.1,396,2.6,ND,0.0,"13,572",4.1,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC190,Kerry Circle,Kerry Circle_Wet,GrbW,6/14/2016,Spring,Wet,1104,25.8,307.2,6.17,7.34,3.1,"2,777",3.4,"8,496",3.9,"18,445",4.3,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,69.7,8.6,1.0
PC191,Hortense,Hortense_Wet,GrbW,6/14/2016,Spring,Wet,1119,24.9,259.3,7.19,7.95,3.1,369,2.6,LOQ,2.7,LOQ,2.7,LOQ,3.0,P,A,0,0,0,0.000,0.000,0.000,77.3,4.1,0.2
PC192,Grove Park,Grove Park_Wet,GrbW,6/14/2016,Spring,Wet,1127,24.3,212.3,7.64,7.79,2.3,326,2.5,"20,789",4.3,"12,444",4.1,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC194,North Ave,North Ave_Wet,GrbW,6/14/2016,Spring,Wet,1147,24.3,404.7,9.07,8.08,3.3,"2,232",3.3,"33,178",4.5,"10,664",4.0,ND,0.0,P,P,0,0,0,0.000,0.000,0.000,77.0,1.2,0.0
PC195,North Ave CSO,North Ave CSO_Wet,GrbW,6/14/2016,Spring,Wet,1154,21.3,572,1.2,7.25,2.1,204,2.3,LOQ,2.7,LOQ,2.7,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,93.7,0.3,0.0
PC196,Lindsay Street,Lindsay Street_Wet,GrbW,6/14/2016,Spring,Wet,1204,21.8,311.3,6.4,7,1.7,"1,493",3.2,"14,173",4.2,"28,816",4.5,LOQ,3.0,P,P,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC197,Greensferry,Greensferry_Wet,GrbW,6/14/2016,Spring,Wet,1216,21.3,298.7,6.81,7.14,1.4,"1,955",3.3,"16,728",4.2,"6,871",3.8,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
PC198,Burbank,Burbank_Wet,GrbW,6/14/2016,Spring,Wet,1226,24.6,173.2,7.57,7.95,3.5,"1,241",3.1,"14,541",4.2,"5,614",3.7,LOQ,3.0,P,P,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC205,Northwest,Northwest_Dry,GrbW,6/28/2016,Summer,Dry,1011,25.3,245.2,6.25,7.62,2.67,"1,019",3.0,ND,2.7,"5,233",3.7,ND,0.0,P,P,0.06,0.15,0.15,0.003,0.003,0.002,59.0,13.9,0.9
PC206,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,6/28/2016,Summer,Dry,1026,21.3,169.3,1.51,6.27,7.22,"2,006",3.3,ND,2.7,"9,078",4.0,ND,0.0,A,A,0.06,0.15,0.15,0.003,0.003,0.002,47.8,21.3,0.0
PC207,James Jackson,James Jackson_Dry,GrbW,6/28/2016,Summer,Dry,1040,25.2,253.9,6.66,7.44,2.81,193,2.3,ND,2.7,"5,010",3.7,ND,0.0,P,A,0.06,0.15,0.15,0.003,0.003,0.002,60.1,13.1,1.0
PC208,Spring Street,Spring Street_Dry,GrbW,6/28/2016,Summer,Dry,1056,23.9,168.9,7.09,7.38,2.9,372,2.6,ND,2.7,"2,212",3.3,ND,0.0,P,A,0.06,0.15,0.15,0.003,0.003,0.002,41.8,21.9,0.7
PC209,Kerry Circle,Kerry Circle_Dry,GrbW,6/28/2016,Summer,Dry,1109,25.8,236.6,5.08,7.23,4.13,534,2.7,LOQ,2.7,"20,931",4.3,ND,0.0,P,P,0.06,0.15,0.15,0.003,0.003,0.002,69.7,8.6,1.0
PC210,Hortense,Hortense_Dry,GrbW,6/28/2016,Summer,Dry,1125,25.3,248.7,7.08,7.41,2.61,771,2.9,ND,2.7,"12,500",4.1,ND,0.0,A,P,0.06,0.15,0.15,0.003,0.003,0.002,77.3,4.1,0.2
PC211,Grove Park,Grove Park_Dry,GrbW,6/28/2016,Summer,Dry,1135,25,203,7.81,7.86,2.17,986,3.0,ND,2.7,"12,185",4.1,ND,0.0,P,A,0.06,0.15,0.15,0.003,0.003,0.002,48.8,11.2,0.0
PC212,North Ave,North Ave_Dry,GrbW,6/28/2016,Summer,Dry,1145,24.9,536,8.43,7.68,1.41,"1,648",3.2,"4,697",3.7,"3,861",3.6,ND,0.0,P,A,0.06,0.15,0.15,0.003,0.003,0.002,77.0,1.2,0.0
PC213,North Ave CSO,North Ave CSO_Dry,GrbW,6/28/2016,Summer,Dry,1155,22.5,568,2.28,7.28,2.49,103,2.0,ND,2.7,ND,2.7,ND,0.0,A,A,0.06,0.15,0.15,0.003,0.003,0.002,93.7,0.3,0.0
PC214,Lindsay Street,Lindsay Street_Dry,GrbW,6/28/2016,Summer,Dry,1206,22.2,356.7,6.09,6.92,0.98,"1,192",3.1,"1,434",3.2,LOQ,2.7,ND,0.0,A,P,0.06,0.15,0.15,0.003,0.003,0.002,94.5,0.0,0.0
PC215,Greensferry,Greensferry_Dry,GrbW,6/28/2016,Summer,Dry,1221,22.1,312.3,6,7.07,1.09,"9,561",4.0,"147,727",5.2,"14,300",4.2,ND,0.0,A,A,0.06,0.15,0.15,0.003,0.003,0.002,83.8,0.4,0.0
PC216,Burbank,Burbank_Dry,GrbW,6/28/2016,Summer,Dry,1230,24.8,171.2,7.52,7.57,1.52,928,3.0,"2,486",3.4,"8,294",3.9,ND,0.0,A,A,0.06,0.15,0.15,0.003,0.003,0.002,68.7,1.4,0.0
PC218,Northwest,Northwest_Dry,GrbW,7/12/2016,Summer,Dry,1050,24.9,331.4,7.25,7.94,2.76,"1,283",3.1,ND,2.7,"5,701",3.8,ND,0.0,P,A,0.06,0.06,0.06,0.003,0.001,0.001,59.0,13.9,0.9
PC219,Lillian Cooper Park,Lillian Cooper Park_Dry,GrbW,7/12/2016,Summer,Dry,1106,21.6,186.2,0.97,6.18,6.83,707,2.8,LOQ,2.7,"13,585,541",7.1,ND,0.0,A,P,0.06,0.06,0.06,0.003,0.001,0.001,47.8,21.3,0.0
PC220,James Jackson,James Jackson_Dry,GrbW,7/12/2016,Summer,Dry,1120,24.9,336.9,7.85,7.82,2.55,127,2.1,ND,2.7,"4,157",3.6,ND,0.0,P,P,0.06,0.06,0.06,0.003,0.001,0.001,60.1,13.1,1.0
PC221,Spring Street,Spring Street_Dry,GrbW,7/12/2016,Summer,Dry,1137,24.1,185.1,7.3,7.53,3,124,2.1,LOQ,2.7,"1,723",3.2,ND,0.0,P,P,0.06,0.06,0.06,0.003,0.001,0.001,41.8,21.9,0.7
PC222,Kerry Circle,Kerry Circle_Dry,GrbW,7/12/2016,Summer,Dry,1150,25.2,365.5,6.55,7.5,3.28,"3,627",3.6,"10,252",4.0,"45,838",4.7,ND,0.0,P,A,0.06,0.06,0.06,0.003,0.001,0.001,69.7,8.6,1.0
PC223,Hortense,Hortense_Dry,GrbW,7/12/2016,Summer,Dry,1207,25.4,277.6,7.24,7.57,3.07,200,2.3,LOQ,2.7,"2,290",3.4,ND,0.0,P,A,0.06,0.06,0.06,0.003,0.001,0.001,77.3,4.1,0.2
PC224,Grove Park,Grove Park_Dry,GrbW,7/12/2016,Summer,Dry,1215,25.2,220.2,7.23,7.85,3.14,313,2.5,ND,2.7,"6,290",3.8,LOQ,3.0,P,A,0.06,0.06,0.06,0.003,0.001,0.001,48.8,11.2,0.0
PC225,North Ave,North Ave_Dry,GrbW,7/12/2016,Summer,Dry,1223,25.4,275.8,7.99,7.88,2.22,"1,358",3.1,"29,683",4.5,"10,452",4.0,ND,0.0,P,P,0.06,0.06,0.06,0.003,0.001,0.001,77.0,1.2,0.0
PC226,North Ave CSO,North Ave CSO_Dry,GrbW,7/12/2016,Summer,Dry,1231,22.7,624,3.97,7.44,1.75,82,1.9,ND,2.7,"1,692",3.2,ND,0.0,P,A,0.06,0.06,0.06,0.003,0.001,0.001,93.7,0.3,0.0
PC227,Lindsay Street,Lindsay Street_Dry,GrbW,7/12/2016,Summer,Dry,1242,22.7,376.3,6.47,7.12,5.72,963,3.0,"4,362",3.6,"22,089",4.3,LOQ,3.0,A,P,0.06,0.06,0.06,0.003,0.001,0.001,94.5,0.0,0.0
PC228,Greensferry,Greensferry_Dry,GrbW,7/12/2016,Summer,Dry,1254,23,305.3,6.26,7.19,1.03,"5,129",3.7,"195,724",5.3,"62,013",4.8,LOQ,3.0,A,P,0.06,0.06,0.06,0.003,0.001,0.001,83.8,0.4,0.0
PC229,Burbank,Burbank_Dry,GrbW,7/12/2016,Summer,Dry,1304,25.1,188.1,7.53,7.6,3.43,760,2.9,"26,079",4.4,"13,875",4.1,ND,0.0,A,P,0.06,0.06,0.06,0.003,0.001,0.001,68.7,1.4,0.0
PC231,Lindsay Street,Lindsay Street_Dry,GrbW,7/26/2016,Summer,Dry,1032,22.2,331.5,6.5,6.97,0.55,310,2.5,LOQ,2.7,"1,881",3.3,ND,0.0,A,A,0,0,0,0.000,0.000,0.000,94.5,0.0,0.0
PC232,Burbank,Burbank_Dry,GrbW,7/26/2016,Summer,Dry,1012,24.6,174.4,6.63,7.45,3.25,"1,821",3.3,"30,474",4.5,"8,472",3.9,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,68.7,1.4,0.0
PC233,Grove Park,Grove Park_Dry,GrbW,7/26/2016,Summer,Dry,1116,25.4,215.5,7.47,7.85,2.22,174,2.2,LOQ,2.7,"3,271",3.5,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,48.8,11.2,0.0
PC234,Spring Street,Spring Street_Dry,GrbW,7/26/2016,Summer,Dry,1213,26,172,7.27,7.53,2.19,425,2.6,ND,2.7,"2,056",3.3,ND,0.0,P,A,0,0,0,0.000,0.000,0.000,41.8,21.9,0.7
PC237,Greensferry,Greensferry_Dry,GrbW,7/26/2016,Summer,Dry,1022,23.7,290.4,6.26,7.16,0.74,"6,545",3.8,"293,122",5.5,"120,205",5.1,LOQ,3.0,A,P,0,0,0,0.000,0.000,0.000,83.8,0.4,0.0
