Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_Presence_Absence,Stx2_Presence_Absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC25,Greensferry,Greensferry_Dry,GrbW,12/7/2015,Fall,Dry,1257,18,261.0,7.25,7.44,NA,"5,411",3.7,"941,242",6.0,"109,667",5.0,"2,145",3.3,A,A,0.00,0.00,0.00,0.000,0.000,0.000,83.8,0.4,0.0
PC26,Burbank,Burbank_Dry,GrbW,12/7/2015,Fall,Dry,1308,13.5,111.5,9.93,7.89,NA,"4,572",3.7,"152,869",5.2,"23,334",4.4,ND,0.0,P,P,0.00,0.00,0.00,0.000,0.000,0.000,68.7,1.4,0.0
PC28,Lindsay Street,Lindsay Street_Wet,GrbW,1/12/2016,Winter,Wet,1235,14.41,358,8.67,7.05,1.2,795,2.9,"102,158",5.0,,,ND,0.0,A,P,0,0,0.27,0.000,0.000,0.004,94.5,0.0,0.0
PC29,Burbank,Burbank_Wet,GrbW,1/12/2016,Winter,Wet,1030,6.10,191,11.75,7.00,1.6,"9,762",4.0,"1,409,048",6.1,,,"1,949",3.3,A,P,0,0,0.27,0.000,0.000,0.004,68.7,1.4,0.0
PC30,Grove Park,Grove Park_Wet,GrbW,1/12/2016,Winter,Wet,1400,7.61,206,11.70,7.66,3.5,175,2.2,"20,359",4.3,,,ND,0.0,A,P,0,0,0.3,0.000,0.000,0.004,48.8,11.2,0.0
PC31,Spring Street,Spring Street_Wet,GrbW,1/12/2016,Winter,Wet,1030,4.64,185,12.28,7.41,8.2,"2,589",3.4,"641,895",5.8,,,"2,079",3.3,A,A,0,0,0.3,0.000,0.000,0.004,41.8,21.9,0.7
PC33,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,1/12/2016,Winter,Wet,1150,7.58,140,10.21,7.39,5.7,145,2.2,ND,0.0,,,ND,0.0,A,A,0,0,0.27,0.000,0.000,0.004,47.8,21.3,0.0
PC35,Greensferry,Greensferry_Wet,GrbW,1/12/2016,Winter,Wet,1100,15.63,299,8.90,7.10,0.9,"2,889",3.5,"2,219,194",6.3,,,"15,253",4.2,A,A,0,0,0.27,0.000,0.000,0.004,83.8,0.4,0.0
PC36,North Ave,North Ave_Wet,GrbW,1/12/2016,Winter,Wet,1145,11.48,272,10.89,7.34,1.4,"26,879",4.4,"2,594,271",6.4,,,"4,970",3.7,A,A,0,0,0.27,0.000,0.000,0.004,77.0,1.2,0.0
PC37,North Ave CSO,North Ave CSO_Wet,GrbW,1/12/2016,Winter,Wet,1205,8.54,646,12.19,6.87,1.4,68,1.8,"3,524",3.5,,,ND,0.0,A,A,0,0,0.27,0.000,0.000,0.004,93.7,0.3,0.0
PC39,Hortense,Hortense_Wet,GrbW,1/12/2016,Winter,Wet,1300,6.98,259,11.85,7.62,3.6,"3,015",3.5,"675,828",5.8,,,ND,0.0,A,,0,0,0.3,0.000,0.000,0.004,77.3,4.1,0.2
PC40,Kerry Circle,Kerry Circle_Wet,GrbW,1/12/2016,Winter,Wet,1115,5.02,277,11.76,7.36,4.5,"1,411",3.1,"279,416",5.4,,,ND,0.0,P,A,0,0,0.3,0.000,0.000,0.004,69.7,8.6,1.0
PC41,James Jackson,James Jackson_Wet,GrbW,1/12/2016,Winter,Wet,1230,4.54,258,12.87,7.53,2.9,880,2.9,"292,935",5.5,,,ND,0.0,P,A,0,0,0.3,0.000,0.000,0.004,60.1,13.1,1.0
PC42,Northwest ,Northwest _Wet,GrbW,1/12/2016,Winter,Wet,1010,3.77,279,12.05,6.95,3.4,"3,746",3.6,"260,210",5.4,,,ND,0.0,A,A,0,0,0.3,0.000,0.000,0.004,59.0,13.9,0.9
PC44,Northwest,Northwest_Wet,GrbW,1/26/2016,Winter,Wet,1011,6.5,178.3,11.70,6.35,NA,"4,072",3.6,"142,760",5.2,"79,114",4.9,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,59.0,13.9,0.9
PC45,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,1/26/2016,Winter,Wet,1030,8.4,99.5,9.18,6.78,NA,679,2.8,"45,823",4.7,"8,986",4.0,ND,0.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,47.8,21.3,0.0
PC46,James Jackson,James Jackson_Wet,GrbW,1/26/2016,Winter,Wet,1041,6.8,166.2,11.09,6.70,NA,"1,427",3.2,"167,194",5.2,"53,930",4.7,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,60.1,13.1,1.0
PC47,Spring Street,Spring Street_Wet,GrbW,1/26/2016,Winter,Wet,1100,7.2,114.9,10.51,6.95,NA,241,2.4,"615,023",5.8,"15,847",4.2,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,41.8,21.9,0.7
PC48,Kerry Circle,Kerry Circle_Wet,GrbW,1/26/2016,Winter,Wet,1113,7.4,188.3,9.74,6.95,NA,"1,189",3.1,"402,015",5.6,"49,372",4.7,ND,0.0,P,A,0.00,0.00,0.00,0.000,0.000,0.000,69.7,8.6,1.0
PC49,Hortense,Hortense_Wet,GrbW,1/26/2016,Winter,Wet,1131,8.4,171.5,10.78,7.07,NA,"2,095",3.3,"611,263",5.8,"28,030",4.4,LOQ,3.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,77.3,4.1,0.2
PC50,Grove Park,Grove Park_Wet,GrbW,1/26/2016,Winter,Wet,1142,8.0,133.9,11.46,7.22,NA,123,2.1,"7,019",3.8,"3,916",3.6,ND,0.0,A,P,0.00,0.00,0.00,0.000,0.000,0.000,48.8,11.2,0.0
PC52,North Ave,North Ave_Wet,GrbW,1/26/2016,Winter,Wet,1201,12.7,199.8,10.25,7.30,NA,"15,391",4.2,"2,543,898",6.4,"288,028",5.5,LOQ,3.0,A,A,0.00,0.00,0.00,0.000,0.000,0.000,77.0,1.2,0.0
