Sample_ID,Site,site_season,Sample_Type,Sample_Date,Season,Wet_Dry_Season,Sample_Time,Temperature_C,Conductivity_uS_cm,Dissolved_Oxygen_mg_L,pH,Turbidity_NTU,E_coli_MPN_100_mL,Log10_E_coli_MPN_100_ml,HF183MGB_GC_100_mL,Log_HF183MGB_GC_100_mL,E_Coli_GC_100_mL,Log_E_Coli_GC_100_mL,DG3_GC_100_mL,Log_DG3_GC_100_mL,Salmonella_presence_absence,Stx2_presence_absence,24_hr_Precipitation_in,48_hr_Precipitation_in,72_hr_Precipitation_in,Rain_Intensity_24_hr_prior_in_hr,Rain_Intensity_48_hr_prior_in_hr,Rain_Intensity_72_hr_prior_in_hr,Impervious_Percent,Forest_Percent,Grasslands_Percent
PC21,Grove Park,Grove Park_Dry,GrbW,12/7/15,Fall,Dry,1208,11,146.7,11.32,7.83,NA,247.00,2.4,0.00,0,0.00,2.7,0.00,0,0,0,0,0,0,0,0,0,48.8,11.2,0
PC23,North Ave,North Ave_Dry,GrbW,12/7/15,Fall,Dry,1230,16.2,223.3,9.7,7.81,NA,2028.00,3.3,431649.00,5.6,55005.00,4.7,0.00,3,0,0,0,0,0,0,0,0,77,1.2,0
PC24,Lindsay Street,Lindsay Street_Dry,GrbW,12/7/15,Fall,Dry,1244,16.5,174.4,7.67,7.69,NA,35807.00,4.6,7087422.00,6.9,764945.00,5.9,0.00,0,1,1,0,0,0,0,0,0,94.5,0,0
PC25,Greensferry,Greensferry_Dry,GrbW,12/7/15,Fall,Dry,1257,18,261,7.25,7.44,NA,5411.00,3.7,941242.00,6,109667.00,5,2145.00,3.3,0,0,0,0,0,0,0,0,83.8,0.4,0
PC26,Burbank,Burbank_Dry,GrbW,12/7/15,Fall,Dry,1308,13.5,111.5,9.93,7.89,NA,4572.00,3.7,152869.00,5.2,23334.00,4.4,0.00,0,1,1,0,0,0,0,0,0,68.7,1.4,0
PC28,Lindsay Street,Lindsay Street_Wet,GrbW,1/12/16,Winter,Wet,1235,14.41,358,8.67,7.05,1.2,795.00,2.9,102158.00,5,NA,NA,0.00,0,0,1,0,0,0.27,0,0,0.004,94.5,0,0
PC29,Burbank,Burbank_Wet,GrbW,1/12/16,Winter,Wet,1030,6.1,191,11.75,7,1.6,9762.00,4,1409048.00,6.1,NA,NA,1949.00,3.3,0,1,0,0,0.27,0,0,0.004,68.7,1.4,0
PC30,Grove Park,Grove Park_Wet,GrbW,1/12/16,Winter,Wet,1400,7.61,206,11.7,7.66,3.5,175.00,2.2,20359.00,4.3,NA,NA,0.00,0,0,1,0,0,0.3,0,0,0.004,48.8,11.2,0
PC31,Spring Street,Spring Street_Wet,GrbW,1/12/16,Winter,Wet,1030,4.64,185,12.28,7.41,8.2,2589.00,3.4,641895.00,5.8,NA,NA,2079.00,3.3,0,0,0,0,0.3,0,0,0.004,41.8,21.9,0.7
PC33,Lillian Cooper Park,Lillian Cooper Park_Wet,GrbW,1/12/16,Winter,Wet,1150,7.58,140,10.21,7.39,5.7,145.00,2.2,0.00,0,NA,NA,0.00,0,0,0,0,0,0.27,0,0,0.004,47.8,21.3,0
